transaction_id,customer_id,amount,payment_method,status,failure_reason,customer_age,previous_transactions,successful_transactions,failed_transactions,preferred_method,hour,day_of_week
TXN_000001,CUST_03497,4966.18,UPI,SUCCESS,,51,1,13,5,WALLET,7,Thursday
TXN_000002,CUST_05408,8829.43,UPI,SUCCESS,,37,29,5,0,NETBANKING,15,Friday
TXN_000003,CUST_01253,6373.42,NETBANKING,SUCCESS,,35,19,13,2,NETBANKING,1,Monday
TXN_000004,CUST_08939,9751.13,UPI,SUCCESS,,21,11,8,0,NETBANKING,13,Friday
TXN_000005,CUST_02485,9221.72,WALLET,SUCCESS,,18,22,25,8,CARD,17,Thursday
TXN_000006,CUST_05735,11943.48,CARD,SUCCESS,,20,7,8,3,NETBANKING,12,Wednesday
TXN_000007,CUST_09202,20790.72,UPI,SUCCESS,,27,22,17,3,CARD,17,Monday
TXN_000008,CUST_09594,2893.39,NETBANKING,SUCCESS,,43,6,18,9,UPI,21,Sunday
TXN_000009,CUST_01531,21047.43,WALLET,SUCCESS,,33,15,14,2,UPI,20,Monday
TXN_000010,CUST_09222,11653.98,NETBANKING,SUCCESS,,24,8,3,0,NETBANKING,20,Sunday
TXN_000011,CUST_03048,21616.17,UPI,SUCCESS,,45,25,21,8,CARD,22,Thursday
TXN_000012,CUST_04455,12578.77,NETBANKING,SUCCESS,,32,24,14,9,WALLET,5,Sunday
TXN_000013,CUST_01820,18463.3,NETBANKING,SUCCESS,,33,21,6,0,NETBANKING,2,Wednesday
TXN_000014,CUST_05159,20373.76,UPI,FAILED,BANK_TIMEOUT,38,14,10,0,NETBANKING,2,Friday
TXN_000015,CUST_03697,18664.73,CARD,SUCCESS,,29,20,14,4,CARD,9,Sunday
TXN_000016,CUST_01606,8709.42,CARD,SUCCESS,,32,23,18,1,NETBANKING,5,Wednesday
TXN_000017,CUST_01854,20120.96,CARD,FAILED,LIMIT_EXCEEDED,32,1,15,0,CARD,22,Sunday
TXN_000018,CUST_05285,10872.44,CARD,SUCCESS,,20,9,17,3,WALLET,13,Wednesday
TXN_000019,CUST_03790,5376.34,CARD,SUCCESS,,19,20,3,7,UPI,4,Wednesday
TXN_000020,CUST_02866,12267.11,WALLET,SUCCESS,,50,15,17,4,WALLET,13,Saturday
TXN_000021,CUST_07130,18702.15,CARD,SUCCESS,,54,26,23,6,CARD,15,Friday
TXN_000022,CUST_07438,9225.3,UPI,SUCCESS,,56,12,18,7,UPI,9,Sunday
TXN_000023,CUST_03643,13984.24,CARD,SUCCESS,,28,20,25,7,UPI,23,Saturday
TXN_000024,CUST_04117,20435.07,NETBANKING,SUCCESS,,54,24,17,2,WALLET,4,Saturday
TXN_000025,CUST_08678,9431.29,CARD,SUCCESS,,19,28,18,7,WALLET,15,Sunday
TXN_000026,CUST_09780,13173.84,UPI,SUCCESS,,29,11,12,10,NETBANKING,9,Tuesday
TXN_000027,CUST_08532,24645.13,CARD,SUCCESS,,30,10,20,8,WALLET,0,Saturday
TXN_000028,CUST_00574,22207.92,WALLET,FAILED,NETWORK_ERROR,45,29,19,10,UPI,14,Saturday
TXN_000029,CUST_04436,9970.25,NETBANKING,SUCCESS,,32,19,25,4,WALLET,0,Tuesday
TXN_000030,CUST_01155,23308.63,NETBANKING,SUCCESS,,32,26,5,3,WALLET,22,Sunday
TXN_000031,CUST_01738,11131.01,UPI,SUCCESS,,46,8,16,7,UPI,1,Wednesday
TXN_000032,CUST_07486,21177.07,CARD,SUCCESS,,49,14,18,7,CARD,11,Wednesday
TXN_000033,CUST_09954,14041.03,NETBANKING,SUCCESS,,43,25,15,7,NETBANKING,4,Sunday
TXN_000034,CUST_06469,5163.49,NETBANKING,SUCCESS,,54,6,16,10,NETBANKING,10,Sunday
TXN_000035,CUST_03618,16448.16,WALLET,FAILED,CARD_DECLINED,54,21,19,3,NETBANKING,10,Sunday
TXN_000036,CUST_06367,15877.12,NETBANKING,SUCCESS,,37,23,10,0,CARD,9,Tuesday
TXN_000037,CUST_08248,5966.4,WALLET,SUCCESS,,35,9,16,5,CARD,13,Wednesday
TXN_000038,CUST_03395,9748.87,WALLET,SUCCESS,,30,4,2,6,CARD,14,Saturday
TXN_000039,CUST_01249,16201.57,CARD,SUCCESS,,38,4,21,0,UPI,9,Sunday
TXN_000040,CUST_04364,15562.35,NETBANKING,SUCCESS,,25,17,15,10,CARD,7,Thursday
TXN_000041,CUST_02316,16974.85,WALLET,SUCCESS,,46,20,24,6,NETBANKING,9,Tuesday
TXN_000042,CUST_00062,9401.36,CARD,SUCCESS,,42,3,24,4,WALLET,22,Friday
TXN_000043,CUST_02080,6811.93,CARD,SUCCESS,,34,8,4,10,WALLET,17,Friday
TXN_000044,CUST_02071,3082.27,CARD,SUCCESS,,21,2,17,10,WALLET,4,Wednesday
TXN_000045,CUST_05136,16187.53,NETBANKING,SUCCESS,,50,19,9,3,UPI,13,Tuesday
TXN_000046,CUST_02207,13060.67,CARD,SUCCESS,,46,19,7,5,NETBANKING,4,Friday
TXN_000047,CUST_08657,24548.62,WALLET,SUCCESS,,32,27,14,8,WALLET,6,Monday
TXN_000048,CUST_04444,9693.57,NETBANKING,FAILED,INSUFFICIENT_FUNDS,41,4,12,7,NETBANKING,18,Friday
TXN_000049,CUST_08025,11769.89,UPI,SUCCESS,,59,15,9,9,CARD,5,Wednesday
TXN_000050,CUST_06450,7603.34,WALLET,SUCCESS,,55,30,16,4,UPI,23,Wednesday
TXN_000051,CUST_03547,17211.12,NETBANKING,SUCCESS,,47,2,21,9,CARD,13,Monday
TXN_000052,CUST_06302,11119.61,NETBANKING,SUCCESS,,18,2,14,6,CARD,4,Thursday
TXN_000053,CUST_08862,11882.86,WALLET,SUCCESS,,39,12,10,4,NETBANKING,14,Saturday
TXN_000054,CUST_04244,9707.0,WALLET,SUCCESS,,27,13,25,4,UPI,23,Friday
TXN_000055,CUST_07485,22282.47,UPI,SUCCESS,,30,12,12,5,NETBANKING,21,Tuesday
TXN_000056,CUST_08016,23208.96,CARD,SUCCESS,,25,3,12,1,CARD,1,Friday
TXN_000057,CUST_05852,11369.36,UPI,SUCCESS,,53,30,20,2,CARD,7,Tuesday
TXN_000058,CUST_06332,14750.28,WALLET,SUCCESS,,47,21,16,1,WALLET,11,Wednesday
TXN_000059,CUST_06622,11272.81,UPI,SUCCESS,,23,17,7,1,UPI,20,Monday
TXN_000060,CUST_06297,18601.52,UPI,SUCCESS,,22,5,13,0,UPI,14,Wednesday
TXN_000061,CUST_03389,17897.75,WALLET,SUCCESS,,47,4,25,9,CARD,13,Friday
TXN_000062,CUST_09458,16502.78,NETBANKING,SUCCESS,,37,18,20,3,NETBANKING,15,Wednesday
TXN_000063,CUST_01654,685.97,CARD,FAILED,NETWORK_ERROR,49,19,22,3,WALLET,20,Monday
TXN_000064,CUST_02291,24937.48,UPI,SUCCESS,,29,14,13,6,CARD,11,Wednesday
TXN_000065,CUST_01148,23767.37,CARD,SUCCESS,,47,16,9,0,WALLET,23,Monday
TXN_000066,CUST_00980,23192.59,UPI,SUCCESS,,19,16,19,4,NETBANKING,11,Tuesday
