transaction_id,customer_id,amount,payment_method,status,failure_reason,customer_age,previous_transactions,successful_transactions,failed_transactions,preferred_method,hour,day_of_week,recovered
TXN_000014,CUST_05159,20373.76,UPI,FAILED,BANK_TIMEOUT,38,14,10,0,NETBANKING,2,Friday,0
TXN_000017,CUST_01854,20120.96,CARD,FAILED,LIMIT_EXCEEDED,32,1,15,0,CARD,22,Sunday,1
TXN_000028,CUST_00574,22207.92,WALLET,FAILED,NETWORK_ERROR,45,29,19,10,UPI,14,Saturday,0
TXN_000035,CUST_03618,16448.16,WALLET,FAILED,CARD_DECLINED,54,21,19,3,NETBANKING,10,Sunday,0
TXN_000048,CUST_04444,9693.57,NETBANKING,FAILED,INSUFFICIENT_FUNDS,41,4,12,7,NETBANKING,18,Friday,1
TXN_000063,CUST_01654,685.97,CARD,FAILED,NETWORK_ERROR,49,19,22,3,WALLET,20,Monday,1
TXN_000072,CUST_08238,5002.51,NETBANKING,FAILED,OTP_FAILURE,50,17,9,1,UPI,16,Friday,0
TXN_000077,CUST_03897,2660.09,CARD,FAILED,BANK_TIMEOUT,22,29,14,9,NETBANKING,9,Thursday,0
TXN_000094,CUST_06638,9588.04,NETBANKING,FAILED,OTP_FAILURE,56,12,8,6,CARD,23,Thursday,0
TXN_000095,CUST_03292,6301.35,NETBANKING,FAILED,LIMIT_EXCEEDED,36,4,8,0,WALLET,5,Wednesday,0
TXN_000098,CUST_09150,13950.47,CARD,FAILED,CARD_DECLINED,19,27,10,8,WALLET,0,Monday,0
TXN_000100,CUST_02298,7638.97,WALLET,FAILED,LIMIT_EXCEEDED,37,14,21,10,CARD,20,Friday,0
TXN_000102,CUST_01740,4866.8,WALLET,FAILED,OTP_FAILURE,33,9,1,2,CARD,22,Wednesday,1
TXN_000112,CUST_08490,9623.26,WALLET,FAILED,LIMIT_EXCEEDED,38,27,14,8,UPI,15,Thursday,0
TXN_000114,CUST_03922,21554.99,NETBANKING,FAILED,BANK_SERVER_DOWN,37,16,2,4,UPI,18,Friday,0
TXN_000116,CUST_02415,8571.07,WALLET,FAILED,BANK_SERVER_DOWN,39,22,4,7,CARD,16,Thursday,0
TXN_000120,CUST_08934,4287.53,NETBANKING,FAILED,NETWORK_ERROR,30,2,8,9,CARD,2,Monday,0
TXN_000121,CUST_08357,21148.59,UPI,FAILED,OTP_FAILURE,30,27,18,0,WALLET,7,Saturday,1
TXN_000125,CUST_02343,17804.28,UPI,FAILED,NETWORK_ERROR,44,20,22,6,CARD,12,Monday,1
TXN_000127,CUST_02372,5244.65,WALLET,FAILED,BANK_SERVER_DOWN,50,21,4,8,NETBANKING,12,Monday,0
TXN_000145,CUST_08912,14563.01,CARD,FAILED,NETWORK_ERROR,29,28,13,3,CARD,19,Friday,1
TXN_000146,CUST_01006,15297.95,NETBANKING,FAILED,BANK_TIMEOUT,34,21,18,6,NETBANKING,19,Thursday,1
TXN_000148,CUST_02802,20125.2,NETBANKING,FAILED,INSUFFICIENT_FUNDS,19,17,7,7,UPI,2,Tuesday,0
TXN_000150,CUST_06782,5994.83,NETBANKING,FAILED,NETWORK_ERROR,21,13,2,6,CARD,8,Thursday,0
